repair_key,repair_item,review_bucket,decision,target_category,canonical_defect,severity_hint,cost_model,notes
damaged lh rear tail light,damaged lh rear tail light.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
damaged lhr tail,damaged lhr tail.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
damaged passenger side rear taillight cracked,damaged passenger side rear taillight cracked.,Hard-avoid skipped,Add dictionary rule,replacement,lighting_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
damaged rear right,Damaged Rear right.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
damaged tail lights cracked,damaged tail lights cracked.,Hard-avoid skipped,Add dictionary rule,replacement,lighting_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
dent on various panels,dent on various panels.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
door cards worn,door cards worn.,Hard-avoid skipped,Add dictionary rule,interior,interior_trim_damage,low,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
door mirror broken left mirror,door mirror broken left mirror.,Hard-avoid skipped,Add dictionary rule,replacement,mirror_light_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
door mirror broken lh side mirror cracked,door mirror broken lh side mirror cracked.,Hard-avoid skipped,Add dictionary rule,replacement,mirror_light_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
door mirror broken passenger door,door mirror broken passenger door.,Hard-avoid skipped,Add dictionary rule,replacement,mirror_light_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
door mouldings,door mouldings.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
doors and rear quarter panel,doors and rear quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
driver back door,driver back door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
driver door card worn,driver door card worn.,Hard-avoid skipped,Add dictionary rule,interior,interior_trim_damage,low,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
driver mirror indicator lens broken,driver mirror indicator lens broken.,Hard-avoid skipped,Add dictionary rule,replacement,mirror_light_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
driver side cracked bumper,driver side cracked bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
driver side front guard and headlight,driver side front guard and headlight.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
driver side panel,driver side panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
driver side rear door and quarter panel,driver side rear door and quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
driver side sill skirt,driver side sill skirt.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
drivers mirror damaged,drivers mirror damaged.,Hard-avoid skipped,Add dictionary rule,replacement,mirror_light_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
electric sliding roof faulty tailgate not opening from outside,electric sliding roof faulty/tailgate not opening from outside.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
engine oil leak paint cracked rear bumper,engine oil leak paint cracked rear bumper.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
engine smoke ovserved,engine smoke ovserved.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
engine smoke visible from under rocker cover in engine bay,engine smoke visible from under rocker cover in engine bay.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
engine water leak cracked coolant pipe needs replacing,engine water leak cracked coolant pipe - needs replacing.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_overheating,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
eps warning light on,eps warning light on.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
exterior damage panel damage,Exterior Damage: Panel damage.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
exterior damage poor,exterior damage: poor.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
exterior tilt tray truck required for collection,exterior: tilt tray truck required for collection.,Hard-avoid skipped,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
fender,fender.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front bumper flat battery,front bumper flat battery.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front bumper screwed on,front bumper screwed on.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front bumper scuffed,front bumper scuffed.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front bumper scuffs and scratched,front bumper scuffs and scratched.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front fender grill displaced,front fender grill displaced.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front left parking lamp needs repair,front left parking lamp needs repair.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front mount coder and blow off valve,front mount coder and blow off valve.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front passenger side cracked bumper,front passenger side cracked bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front right headlamp is foggy,front right headlamp is foggy.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front seat scratches front seats,front seat scratches front seats.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front seat scratches minor,front seat scratches minor.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
front seat stains driver door,front seat stains driver door.,Hard-avoid skipped,Add dictionary rule,interior,seat_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
front seat stains passenger dents or marks on body consistent with age and kilometres,front seat stains passenger dents or marks on body consistent with age and kilometres.,Hard-avoid skipped,Add dictionary rule,interior,seat_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
front seat worn all seats worn,front seat worn all seats worn.,Hard-avoid skipped,Add dictionary rule,interior,seat_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
front seat worn both engine oil leak,front seat worn both engine oil leak.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
front seat worn seat,front seat worn seat.,Hard-avoid skipped,Add dictionary rule,interior,seat_damage,medium,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
gear shift trim damaged,gear shift trim damaged.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
hatch door,hatch door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
head gasket issue,head gasket issue.,Hard-avoid skipped,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
head gasket needs attention,head gasket needs attention.,Hard-avoid skipped,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
hood lining sagging door card worn,hood lining sagging door card worn.,Hard-avoid skipped,Add dictionary rule,interior,interior_trim_damage,low,fixed_replacement,bulk high-confidence review 2026-06-26 pass 2
inspection by qualified third party highly recommended,inspection by qualified third party highly recommended.,Hard-avoid skipped,Ignore as boilerplate,boilerplate,boilerplate_inspection_recommendation,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
interior engine warning light on,interior: engine warning light on.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
interior light bulb warning light,interior: light bulb warning light.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
large dent on driver side panel,large dent on driver side panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on driver side rear,large dent on driver side rear.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on front right fender and door,Large Dent on Front right fender and door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on front right quater panel,large dent on front right quater panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on left side,large dent on left side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on passenger side rear guard,large dent on passenger side rear guard.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on rear fender,large dent on rear fender.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on rear left door,large dent on rear left door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dent on rear quarter panel driver side,large dent on rear quarter panel driver side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dents and scratches left rear passenger door,large dents and scratches left rear passenger door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large dents on passenger side front guard,large dents on passenger side front guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
large scratch on back bumper,large scratch on back bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scratch on driver side back door,large scratch on driver side back door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scratch on front bumper bar and guards,large scratch on front bumper bar and guards.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scratch on front bumper left side,large scratch on front bumper left side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scratch on rear passenger quarter panel,large scratch on rear passenger quarter panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scratch on rh rear quarter,large scratch on rh rear quarter.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scratch on various parts of vehicle,large scratch on various parts of vehicle.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scuff on driver side door,large scuff on driver side door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scuff on passenger side rear,large scuff on passenger side rear.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scuff on rear right quater panel,large scuff on rear right quater panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scuff on rhf door,large scuff on rhf door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
large scuff on right side,Large Scuff on Right side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
leaking head gasket,leaking head gasket.,Hard-avoid skipped,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
left doors,left doors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
left quarter panel and door handle,left quarter panel and door handle.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
lh brake light damaged,lh brake light damaged.,Hard-avoid skipped,Add dictionary rule,cosmetic,generic_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
lh front and rear door,lh front and rear door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
lh front cracked bumper,lh front cracked bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
lh front door x3,lh front door x3.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
lhr,lhr.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
lhr and lhf door,lhr and lhf door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
low tyre pressure warning light on dash,low tyre pressure warning light on dash.,Hard-avoid skipped,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium dent on both quarter panels,medium dent on both quarter panels.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on driver rear panel,medium dent on driver rear panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on driver rear quarter panel,medium dent on driver rear quarter panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on drivers side rear door,medium dent on drivers side rear door.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on front right guard,Medium Dent on Front right guard.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on lhr,medium dent on lhr.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on multiple along passenger side,medium dent on multiple along passenger side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on passenger front quarter panel,medium dent on passenger front quarter panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on passenger side rear guard,medium dent on passenger side rear guard.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on rear hatch lid,medium dent on rear hatch lid.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium dent on rear passenger side and scrape,medium dent on rear passenger side and scrape.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on both sides of vehicle,medium scratch on both sides of vehicle.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on door panel,medium scratch on door panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on front bumper and bonnet,medium scratch on front bumper and bonnet.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on front bumper engine oil leak,medium scratch on front bumper engine oil leak.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium scratch on front left quater panel,medium scratch on front left quater panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on lh front guard and rh rear bumper,medium scratch on lh front guard and rh rear bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on multiple door sills,medium scratch on multiple door sills.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on passenger side back wheel arch,medium scratch on passenger side back wheel arch.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on passenger side mirror,medium scratch on passenger side mirror.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on rear guard,medium scratch on rear guard.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on rear right quarter,medium scratch on rear right quarter.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on rear right quater panel,medium scratch on rear right quater panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on various across body of vehicle,medium scratch on various across body of vehicle.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on various all over body,medium scratch on various all over body.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on various along left side,medium scratch on various along left side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scratch on various rear bumper,medium scratch on various rear bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on left side skirt,medium scuff on left side skirt.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on lhs front bumper,medium scuff on lhs front bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on multiple door sills,medium scuff on multiple door sills.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on passenger front quarter panel,medium scuff on passenger front quarter panel.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on passenger side bumper,medium scuff on passenger side bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on rear left,medium scuff on rear left.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on rh bumper,Medium Scuff on RH bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on rh front guard,medium scuff on rh front guard.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on rh side mirror,medium scuff on rh side mirror.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
medium scuff on various on either side,medium scuff on various on either side.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
minor engine oil leak,minor engine oil leak.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
minor scratches and dents visible around vehicle,minor scratches and dents visible around vehicle.,Hard-avoid skipped,Add dictionary rule,cosmetic,cosmetic_surface_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
noise observed from front of vehicle,noise observed from front of vehicle.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint cracked front and rear bar,paint cracked front and rear bar.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint cracked hood and rear bumper,paint cracked hood and rear bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint cracked lhf bumper,paint cracked lhf bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint cracked various areas,paint cracked various areas.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint cracking on driver side rear quarter panel,paint cracking on driver side rear quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade peel around vehicle,paint fade/peel around vehicle.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint fading and peeling around the car,paint fading and peeling around the car.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint fading and peeling various parts,paint fading and peeling various parts.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet and rooftop,paint fading bonnet and rooftop.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading door handle and some places,paint fading door handle and some places.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading driver door,paint fading driver door.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint fading drivers side front guard rear hatch,paint fading drivers side front guard & rear hatch.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading guard mirror,paint fading guard mirror.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading left guard,paint fading left guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading lhf guard,paint fading lhf guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading mirrors and roof racks,paint fading mirrors and roof racks.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on bonnet and roof,paint fading on bonnet and roof.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint fading on front bumper,Paint fading on front bumper.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint fading on roof bonnet and quarter panels,paint fading on roof bonnet and quarter panels.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear tailgate,paint fading rear tailgate.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading right mirror,paint fading right mirror.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and rear bumper,paint fading roof and rear bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and rear spoiler,paint fading roof and rear spoiler.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading various panels medium scratch on various panels,paint fading various panels medium scratch on various panels.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
paint panel fair,paint & panel: fair.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint peel around vehicle,paint peel around vehicle.,Hard-avoid skipped,Add dictionary rule,cosmetic,paint_damage,low,cosmetic_panel,bulk high-confidence review 2026-06-26 pass 2
